           1.5k	  1	               	"R107"
           100n	  6	               	"C108, C109, C110, C111, C113, C114"
            10k	  9	               	"R105, R118, R119, R120, R121, R122, R123, R124, R125"
            18p	  2	               	"C106, C107"
             1k	  1	               	"R102"
             1u	  1	               	"C112"
            1uF	  5	               	"C101, C102, C103, C104, C105"
           2.2k	  2	               	"R101, R103"
             22	  2	               	"R108, R109"
             2k	  8	               	"R126, R127, R128, R129, R130, R131, R132, R133"
            36k	  1	               	"R106"
           4.7u	  1	               	"C115"
           4001	  3	               	"U102, U103, U104"
            47k	  1	               	"R104"
           8MHz	  1	               	"X101"
       BC817-40	  2	         SOT-23	"Q101, Q102"
              C	  7	               	"C116, C118, C119, C120, C121, C122, C123"
         CONN_2	  5	               	"P103, P104, P105, P106, P107"
            CP1	  1	               	"C117"
          DIODE	 16	               	"D119, D120, D121, D122, D123, D124, D125, D126, D127, D128, D129, D130, D131, D132, D133, D134"
           FUSE	  1	               	"F101"
            I2C	  1	               	"P101"
           JATG	  1	               	"P102"
         MAX232	  1	               	"U101"
       MOSFET_N	 16	               	"Q103, Q104, Q105, Q106, Q107, Q108, Q109, Q110, Q111, Q112, Q113, Q114, Q115, Q116, Q117, Q118"
           P6AU	  1	               	"D102"
              R	  8	               	"R110, R111, R112, R113, R114, R115, R116, R117"
          RS232	  1	               	"J101"
     STM32F102R	  1	               	"D101"
       TLP181GB	  8	               	"D103, D104, D105, D106, D107, D108, D109, D110"
            USB	  1	               	"J102"
          ZENER	 16	               	"D111, D112, D113, D114, D115, D116, D117, D118, D135, D136, D137, D138, D139, D140, D141, D142"
